text,final
speaking after receiving the jab at the state house clinic the chief of staff described his experience as painless urging eligible nigerians to come forward and take the vaccine,2
put better the gop members of the supreme court decided not to uphold osha vaccine or test mandate,0
we took the covid second dose astrazeneca today with joy at ikate primary health centre lekki this should inspire skeptics and curb vaccine hesitancy,2
that the number of our health workers that took the vaccine increases daily,0
vaccine passports = a fast forward to the new world order wet dream of the few insiders like our dear year old bond villain lookalike klaus schwab and his philanthropath buddy bill gates and evil incarnate himself george soros,0
the nigerian government did not go for the best covid vaccine available senator dino melayehttps,0
your rd question the vaccine is not contraindicated in people who have previously received other vaccines however the current who recommendation is that there should be a minimum of days interval between administration of the covid vaccine and any other vaccine,0
breaking a federal court has blocked joe bidens covid vaccine mandate for federal employees,0
so fake covid vaccines found in china see why people are skeptical of this vaccine,0
took the pfizer thing my arm is numb,1
vaccine is safe and effective,2
so antibody tests at this point is usually for surveillance inorder to help determine how many pple in the community hv developed an immunological response to either the covid infection or the vaccine it helps determine if herd immunity has being or can be achieved,0
what will u say about humans that that test vaccine,0
gotta give it to and the roll out of vaccine has been well coordinated and not hijacked by politicians or saved for the high class,2
i heard some elderly people die after receiving the vaccine and baba is aged right,0
after the long wait us parents seeking unders vaccine face yet more hurdles,0
mismanagement of palliatives by governors negatively affected peoples trust on the generosity of governors on distribution of vaccine,0
grace be like astrazeneca vaccine wetin work for me fit go wrong for you gm world,0
local covid vaccine not feasible in two years nnmda dg,0
people were fearful before the vaccine now the vaccine is available people are doubting it,0
you can contact anyone at the place if vaccination as they have hard copies the website nphcda nigerian primary health care development agencyshould be able to track the name but ive not checkedjust try it,0
thats abachina made vaccine you know that peteru is china policy ambassador to nigeria he must be prepping the wuhan based vaccine for us ni yen ke god forbid bad thing,1
ok million doses of covid vaccine came into nigeria yesterday last time i checked were about million in population i know the ordinary citizens will never smell the vaccine empty political publicity shit,1
still havent got confirmation of my re booked flight and im due to travel this morning ive got the covid vaccination certificate that stopped me from travelling yesterday please can i get this sorted asap i need to head to the airport in an hour,0
i took the vaccine around uploaded this past thats hours+ na me be burnt goat o ti baj_ gan o,2
it is even more irresponsible to make people take an unnecessary vaccine that may harm them by skewing info presented to them thru media poorer countries were supposed to hv bodies in the strets but hey the world was shocked,1
me seeing how nigerians responding to that cynic and myopic post on vaccination from,0
yes that wicked waxing killed his sister just yesterday pm like i said im not going to call that thing vaccine its new name is waxing,1
somebody thats not in the health sector supply chain is the one doing breakdown of how much vaccine should be bought lol,0
read some people had blood clot after the vaccination in denmark,1
no follow people ogo and take your vaccine,2
not covid vaccine,0
yeah this vaccine is definitely making me weak af,1
mandating vaccination for accommodation in ui is a violation of our fundamental human right,1
they aint compulsory for vaccination process,0
i am glad that the vaccine will also prevent the new variant it would have been bad if it didnt,2
have you registered to receive the vaccine register online to get your vaccination id here,0
end the conspiracy theories the post corporate world politicize and market the health what next after vaccine,0
modis vaccine diplomacy benefitting now all nations came forward to help indians just because of india had already done same also in prior,0
i got my jab of the astrazeneca vaccine today no complain,2
but you released the vaccine after election which means you were part of the conspiracy to dethrone him by hook or crook,0
at least south africa has been open to the ask price on the table i wonder why the nigerian government hasnt told us anything about the pricing offer from pfizer and biontech oo,0
vaccination helps you take personal control of your life and allows you to be free to live a healthy life,2
uncle jimi have you take your vaccine,0
alddn program officers during the radio program at freedom radio kano state the program encouraged farmers to participate in vaccination campaigns to ensure herd immunity and dispose milk collected from cows under medication,0
getting the vaccine is like wearing a helmet because someone wants to slap you youll feel the hit but the effect has been reduced to the possible minimum,2
lol i like how there is an agreement it shows the confused state you people have been thrown into one minute the virus is an hoax the next minute you should trust god for healing he could have preached his message without sounding like it was abomination to take the vaccine,0
there is a report that the vaccine is currently being suspended in some countries like australia after deaths were recorded is it still safe to take the vaccine,0
for where heard there is only doses of the vaccine available for nigeria,0
where can i get covid vaccine in abuja tomorrow,0
to paraphrase a friend dr ib usman production of covid vaccine would be much easier than convincing a large fraction of nigerian masses to take it i could not agree less,0
belgium man arrested after getting coronavirus vaccine eight times in order to get vaccine certification on behalf of other people this is how he looks now,0
of nigerians to be vaccinated who doesnt take covid vaccine will not travel fg warns,2
i heard aba boys convid vaccine is already in town i trust my igbo brother every opportunity brings business but make una fear god o,0
nothing fit make me miss this not even the vaccine wey i dey collect the next day,0
who qualified nigeria from removing vaccine because we failed to meet the standard requirement of storing the vaccines at the required degrees celsius watch pmb seek for another fresh loan to build storage,0
education as a vaccine kicks off the project strengthening the community led response to the hiv epidemic in west and central africa with focus group discussions in benue and akwa ibom with adolescents and young people,0
na government bad no be country bad you cant injure someone and try to put salt in the injury and expect to be praisedthe said guess the origin of the leading scientistguess the number of africans working with pfizer,0
fancy site i cant select preferred location for vaccination all is well,0
nigeria is doing very well in this vaccination mata m people,2
how long till one of your friends tell you they know how you can get the covid vaccine for _xxx,0
our politicians thinking about how to get multiple doses of the vaccine for them and their children or how to use it for their next birthday,0
i have just registered for covid vaccination on cc website very seamless and straightforward hoping to get vaccinated in the coming days you should register too,2
hello sir the fact is that nobody is forcing you not to take the vaccineyou do what you believe in moreover you are not part of his congregation so whats the problem about funny enough you are all hypocrite did you also listen to the part where he said anybody that,0
something they said will not guarantee not getting covid so why then should one take the vaccine,1
what is the rubbish this one is saying how is taking a vaccine a sacrifice just say you dislike him none of this gibberish see something,0
every person regardless of their race or nationality should have equal access to the vaccine we need to stand up to big pharma and make generic vaccines available worldwide,2
i had the astra zeneca vaccine yesterday agreeing to be your guinea pigmy blood is still liquid so its finego get yours,2
the same ffk ranting up and down last year even this very year concerning the covid vaccine took the jab i mean he said fear naija politicians ooo,0
for now its only pfizers vaccine that fg has paid for which will arrive towards the ending of this month our president will receive dose live on tv,0
exactly my thoughts i aint taking no shit and i would really advise yall to just calm down and dont rush to take the vaccine cus the whole narrative aint making no sense,1
vaccine the means to an end lol,1
of the took the lead at the on tuesday when he received the first jab of astrazeneca covid vaccine,0
there is something wrong with this report how can zamfara and abia be zero when i have seen mattawalle and sam hart with their vaccine pictures and card online,0
you people are doing the same thing you swear you hate labelling people who are skeptical about the covid vaccine anti vaxers is a very dishonest thing to do,1
politicians do things for different reasons its not even news they can support the devil if it means having a spot at the table the suffering now does it affect atiku in any way have you taken covid vaccine yet,0
nigerian money na una de chopp am then chop vaccine too,1
buhari was this how you took the vaccine,0
today th march the hospital board chairman dr alex tosan received the covid vaccine he urged all to stop being skeptical about its safety the world health organisation who has declared it safe get vaccinated today it is in the interest of all of us,0
very valid concern on the first nigeria has a good track record with regards to vaccination the az vaccine we got is stored at �c which is the regular temperature were used to and that routine vaccines are stored in on the second ill put together something soon,0
e be like i go sleep for this vaccination centre dont understand how something this simple dey drag on,0
the vaccine dey with minister of health,0
is the moderna in nigeria different from the one in the uk if it is not what then is the basis for this unwarranted discrimination this is how governments fuel the lack of trust in these vaccines and then turn around to wonder why people are skeptical,0
sokoto health ministry holds sensitization on covid vaccine rollout national accord newspaper,0
we are not out of the woods yet so it is reasonable to add whatever that needs to be added to prevent an individual from contacting this disease the vaccination is one of such measures apart from wearing of face masks maintaining hygiene and social distancing,2
enlightenment programmes to deepen public acceptance of the vaccine ahead of its introduction dr elelu meanwhile has said there is no conclusion yet on the type of cold chain equipment the state would require for the storage of the vaccine,0
mr pandemic we need the vaccine ep,2
in an effort to contribute to nigerias herd immunity i got administered my first dose of vaccine today,2
experience had shown that he will take his own and immediate family jab without telling anyone again as things go now vaccine will almost be like a visa before you can travel to some countries and guess what there is global database for verifying same,0
i dont know any covid vaccination centre near me so they should provide my centres for the people to be vaccinated,0
wich one is mandatory vaccine passport,0
covid vaccine done,2
so whats the work of the vaccine mr president,0
ogun state governor prince kickedoff mass vaccination campaign in ogun state with the slogan stay alive get covid vaccine in partnership with st november,0
i heard it takes hrs for the effect to take off btw where did you get vaccinated my area is saying no vaccine available,0
dwight will prolly make his own vaccineafter jim encourages him to do that of course,0
now i get it pringles taste like oral vaccine dose,0
they dont know everything about this virus yet they want to vaccine everyone,1
meet the partners of the biggest most affordable end of year medical checkup for k only gives you tests consultations screenings free drugs free covid test and vaccine get doses of vaccines for as low as k during dont miss this,0
immunization is the process by which a person is immunised or resistant to an infectious disease usually by administering a vaccine world immunization week is an international awareness week for immunization and vaccination,0
if vaccine is good why then should anyone or organisation or govt force their people to take the vaccine will this vaccine prevent one from still getting the virus it should not be by force,0
this is what i was drawing your attention to misinformation and covid vax etc,0
collect vaccine o,2
how do i get the covid vaccine are they administering in port harcourt,0
so after the vaccine we will still wear a mask what then is the point,1
astrazenecas covid vaccine not suitable for young people if britains professor lockdown todays daily trust news paper page,0
covid vaccine campaign is for wellbeing of the humanity,2
oga i no go take wuna vaccine corona fit catch me sef,1
my senator am tired of this country everyday vaccine this vaccine that all our papers head lines everyday is about vaccine,1
with all due respect to our next president come me and my household dont need no covid vaccine,1
if you dont have that bastard vaccination mark on your arm youre gen z no need to fight it,1
plot to impose the covid vaccines on everyone lockdown nigeria will become the first nation to sell this vaccine just watch,0
abeg how many of una don collect covid vaccine,0
the ceo of pfizer says that annual shots of the covid vaccine may be needed i think these big pharmaceutical companies dont need to make any other drugsmedicines because covid literally has them covered plus more variants are gonna just keep on coming lol,1
ife hi please did you register before you got the vaccination,0
astrazenaeca vaccine whats your take on the concerns shown by other countries about the vaccine with the assurance from the federal government of its safety and their taking a jab publicly should it be halted or continued join kelly otoide and chukwuma cummings,0
everyone i know who is aa that has taken the vaccine have had very bad symptoms while everyone i know who are as myself included barely had symptoms i went about my daily routine only thing was i was sleepy on the first day and had slight aches in the injected area,1
until one of my aunt or uncle raise hand and ask whats the impact of taking covid vaccine has to do with choosing a career path financial management or risk in decision making,0
covid stop payment for vaccination citad tells govt,0
and i am expected to take this vaccine soon god help me,1
doctors encourage covid vaccination despite reports of cosmetic facial filler swelling,0
how do you convince people to take the vaccine now when you ban travel even for vaccinated people l does it make sense,0
i just registered for covid vaccination and instantly i got my vaccination id protect yourself and be vaccinated let defeat this pandemic together click the link below and be registered,2
all this one that cant see a nigerian making vaccine only to insight fear and calculated visions v,0
myth now that we have a vaccine for covid we can make vaccines for the common cold hiv and other diseases fact the thousands of viruses that cause various diseases are very different,0
there is a claim that covid vaccine can make your body magnetic what is wrong with people,2
th dose ffs yall should make up ur bloody minds on the damned vaccine,1
delta state government today lunch covid vaccination campaign at asaba get your protection now covid vaccine is free save and save lives,2
lagos to london ontop vaccine suffer no tire u,1
only if they meet these standards a vaccine receives validation from the world health organization who and national regulatory agencies,0
please can you point me to this study im doing a project on covid and covid vaccination and ill love to read about this,0
australia doesnt joke with vaccination he never should have gone there knowing fully well that hes anti vaxxed,0
the radio should provide answers to the questions where can i get the vaccines at what cost is the vaccines safe does the vaccine impact on menstrual cycle children pregnant women fertility the aged and elderly those with terminal disease,0
despite registration to be vaccinated no message yet to come for the vaccine but my worry is that they coordinate the jabs collection well and mobilising people to take the vaccine but they couldnt do that for palliatives this made people not to trust them,1
about to collect covid vaccine valar morghulis,0
god please we need this vaccination to speed up im tired of this damn virus,2
abeg whatever you do try not to create doubt in peoples minds about the covid vaccine abeg have sciencefactbased debates with people in your closed circle if you must the disease can be damned unforgiving and we need as many people as possible to not have it abeg,2
the verification process is ongoing it will become active just before the nd dose it will be needed to verify if you have taken the first dose of the vaccine,0
anyone wanna scare me about covid vaccine so i can chicken out before i take it,1
what an honor to be part of this panel on vaccine equity moderated by register to attend,2
i have a love hate relationship with pfizers packaging,0
i am an old man and got scared of taking the covid vaccines because of the negative things said about the vaccinebut after this session by goalprime organisation i now believe that the stories are all lies and i am now ready to get vaccinated,2
my barber said people will mix the vaccine with some other chemicals to produce insecticide and fertiliser to sell laugh almost ruined my low cut,0
you go and collect your covid vaccine second dose,2
the prevents moderate to severe forms of covid when one is infected with covid the produces antibodies that trigger an immune response in the body thereby preventing the infection from becoming the disease video credit noah lindquist,2
a different shade of vaccine inequity is being fully vaccinated but told your full vaccination status means nothing because you were vaccinated in africa asia or latin america,1
the truth behind the science is coming out now asymptomatic spread according to this study of almost million people just isnt a thing but without the risk of asymptomatic spread how do you justify lockdowns without the lockdowns how you scare people to take a vaccine,0
ogun receives doses of covid vaccine,0
it seemed changed their minds but the very large percentage still not willing to take the vaccine means a lot of people dont understand so much about the vaccine maybe the education on the effect of the vaccine should still be going on,2
how dose pfizer works it uses mrna technology which is a new type of vaccine it works by sending instructions to host cells in the body for making copies of a spike protein like the spikes you see sticking out of the coronavirus in pictures,0
alhamdulillah i received my first dose of covid vaccine allah ya bamu lafiya da zama lafiya ameen,2
you probably dont knw that there is more to vaccines than pfizers and majority of the available vaccines now including azs which nigerian is exprcting abt m dose of dont require such level of temperature for storagepfizer can go away with their ice cream,0
i have received my astrazeneca covid vaccine this morning no long delay felt slightly dizzy for about minutes after taking it no other side effect encountered the vaccine is safe and effective,2
whats a vaccine to an antidote blood sweat tears in my engine o if you smell susscess thats my cologne the name of ladipoes perfume is success below is a screenshot of the timestamp,0
mr bidens vaccine mandate is not about science but about subduing the supporters of djt it is also about making sure that the pharmaceutical coys make profits as agreed for helping him win the last elections protecting the vaccinated from the unvaccinated makes no sense,0
took the pfizerbiontech bntb vaccine first shot today man never feel any reaction second shot of this in days ma sallam,2
senate president receives first jab of astrazeneca vaccine,0
kindly investigate if the supplies of vaccines nigeria received recently has link with this batch in australia currently there is no evidence of a causal relationship with the vaccination basg said,0
we are in full support of the vaccine roll out to fct residents,2
and covid passports or passes to prove vaccination status will no longer be required anywhere what happened why the sudden reversal of policy in one of the countries that supported some of the most draconian pandemic policies,0
sorry the evidence suggests otherwise except you brought in a different version of the vaccine,0
not my office ppl thinking i wld still come back to work after taking this vaccine pls dear im having reactions for d next days thanks in advance lol,2
dearest astrazeneca save nigeria from the real pandemic you know what i mean kind regards ordinary citizens,2
after so much proactiveness by vp to ensure that is supplied with the vaccine finally the first batch arrives and the debate about whether or not to take it can go into full bloom,0
covid vaccine is safe for intake morning drive with on,2
taking the vaccine is nothing when it comes down to leaving this country,2
how i wish i am an errand boy like pyo but have access to covid vaccine,0
see ur people wey say covid na scam na this na that na them first run go collect vaccine after deceiving people all over d place now talking of bowing to pressure nonesense,1
when a background check is done now you may just realized they refused taking the vaccine most people refused to and sadly they professionals,0
i hope the vaccine will be free for all nigerians too,2
another siju iluyomade arise free covid vaccination tuesday may time am address yesufu sanusi street victoria island lagos free food to be served,2
this vaccines have been administered in gt million people since dec if those adverse effects exist they would been detected by now that being said dont just take my word for it look up resources around this ill include one,2
alhamdullilah make sure you take your covid vaccine is safe and effective ijebu ode,2
you are absolutely right although its not a global health piece in its entirety i just use the back door sneak covid vaccination enter,0
all you should know about covid vaccine,0
edo people kick against gov obasekis no covid vaccination no entry order,1
that vaccine na free abi pple dey pay,0
so what would bishop do next time he is traveling to the abroad and is asked for a vaccine passport,0
president receives nd jab of the covid vaccine from his chief personal physician dr suhayb rafindadi sanusi in state house on th may,0
covid vaccine is very safe and effective if you feel contrary please fill this min survey,2
nigeria elites and government are suffering from mental slavery and they dont realize it only recently the former vice president is so proud to receive vaccine in another country and is not ashame of it our so called rich men can never help because they dont believe in us,0
how much is the cost of the vaccine itself free i guess,0
we dont want vaccine we need proper security,1
i just hope nigerias batch of the astrazeneca vaccine is not what other countries are banning,0
the vaccine does not stop the spread allow everyone choose must everybody take it,1
jollof rice for vaccination many will take more than jabs because of the food incentive,0
oga is like the side effects are manifesting ooo you don dey hold the vaccine card upside down,0
guess who got the vaccine me i also got a confirmation that im not one of those this country will kill however if youre of the assurances that this country is set up to kill you accept my heartfelt condolences in advance yes it was free no i didnt know anybody,2
amen is that how the vaccine look like,0
you want her to be discreet about choosing to be vaccinated why was she discreet about being infected what is wrong with you no one is forcing you to take the vaccine she wants to take it and she had said it you dont want it then say yours and keep it moving,2
we had to take care of ourselves in covid vaccine rollout says serbian president,0
fg makes covid vaccination proofs mandatory for civil servants to access offices,0
the best in face of this pandemic is for fg to release funds to our research institute to produce our own vaccine after all we have the wherewithal to do it having done it before by so doing we will produce vaccine suitable for our environment and save cost,2
coming back yesterday quite a nos of people are still not vaccinated against covid then the ones who got fake covid vaccine passports dey,0
just get the fucking vaccine,1
we have covid vaccination centers in lagos state,0
who this good step toward building people confidence and demsfying stigma and hesitancy against covid vaccinationproud of u sir,2
register for your convid vaccine,2
covid vaccine is safe and effective kafin naturo dan uban ki idan ke baki da hankali ni ina da shi,1
went back on my due date no vaccine went a couple of times again same story just strolled today to check and boom i got it,2
covid vaccination senate president receives first jab of astrazeneca vaccine urges more sensitisation advocacy,0
clergy preach faith in the covid vaccine to doubters,2
dont be surprised if him don go collect vaccine like him fellow campaigner,0
he urged nigerians to embrace covid vaccination and other nonpharmaceutical approaches deployed to combat the pandemic,0
this is very strange and unusual i cant find my covid vaccination card and i should be taking a nd shot soon this month what do i do,0
buhari to nigerians follow my vaccine lead,0
hey pls when d general covid vaccination program will commence i dey broke ooo_,0
i think by now companies should already start scheduling their staffs for covid vaccination make arrangements for them to get the vaccine at least if you know you cant run tests for everyone,2
myth this week we are shattering all those tables full of myths on immunization please dont be deceived vaccination saves lives,2
governor how i felt after taking coronavirus vaccine jab,0
i was opportuned to receive my first dose of astrazeneca vaccine today anticipating the second dose in july,2
one in four people in rich countries has been vaccinated compared with one in every in lowincome nations,0
oh yes we need to spotlight decades of research on this one and other malaria vaccine candidates still in the works many thanks,0
are we paying for covid vaccine i got to where i want to collect my covid vaccine today and they ask me for money,0
i agree with cheta that we have refused to tackle logistics first before we even start negotiating for the vaccine i wouldnt be surprised they would get the pfizer version even when we dont have the storage capacity,0
that is why i said remdesivir is an antiviral drug not a vaccine it helps in the treatment not the prevention of covid and like most viral infections you treat the symptoms until the virus runs its course,0
the organizers of the tournament before now were fully aware of novaks decision about the vaccine so why extend the invitation to him,0
it was just get the vaccination then all will be well then get the second shot then get the booster who knows whats next,1
kwara sets up technical working group on covid vaccine introduction has set up a technical working grouptwg as part of the national response to vaccine introduction the twg would serve as an advisory body to the state as part of its strategies to,0
didnt you also hear that the delta variant doesnt respect any vaccination,1
we get vaccine for body,0
someone that denied covids existence last to accept vaccine na ect u need sir,0
watch hello doc with on the importance of vaccination,2
whats the recommended dosage for moderna vaccine sage recommends the use of the moderna mrna vaccine at a schedule of two doses �g ml each days apart if necessary the interval between the doses may be extended to days tody,0
vaccine tourism is the new business,0
it is a good that the vaccine is roaming different state but the fact is will the low class acquire this vaccine due to it lower availability,2
medical laboratory scientists have both the technical and intellectual dexterity for local vaccine production we are open to partnerships and collaborations that would aid this process for our dear nation,2
omicron has now been randomly detected this is information pandemic nothing more same with the b variant in august in uk after everyone checked their book they moved on the difference now they want to make africa culpable for a pandemic we took vaccine in solidarity,2
god this pain is so intense whats in this damn vaccine,1
hmmm vaccine = vampire ive been thinking abt the reason behind the name like why cant it be jaccine instead of vaccinenow i get thanks pastey,1
a pandemic with no vaccine,1
atiku abubakar receives covid vaccine,0
updated list of covid vaccination sites,0
he practically spent almost k just to get a covid test and vaccine at the nigerian airport o he said even whites faced the same fate at the airport now the question is why on earth will they extort people illegally on the basis of covid test and vaccine,0
bengal goes to supreme court pleading for universal free vaccination proud to be the first in a battle for what is due to every indian,2
president received the second dose of the astrazenecaoxford vaccine at state house abuja th may,0
covid vaccinations no reason to stop using astrazeneca jab says who,0
horst seehofer german interior minister has tested positive for covid despite having received a vaccination seehofer previously turned down astrazenecas corona vaccine but later received his first shot of pfizerbiontechs vaccine in midapril my prayers for him,1
interesting africa a continent who suffered least from the pandemic are the last to receive a vaccine guess the west who suffered the most need it the most immediately,0
the upside is there are scientists studying this development and trying to develop a vaccine thatll counteract any mutation advancesdownside is how available will it readily be,0
moderna uses the same mrna technology as pfizerbiontech and had a similarly high efficacy at preventing symptomatic disease when the companies applied for authorization it also needs to be stored in freezerlevel temperatures,0
fg should hide this covid vaccine as they hide the palliativesuna no give us palliative now una wan give us vaccine,1
covid vaccine passport on the way without it you cannot travel anywhere,0
kwara state governor and his wife have gotten their jab kwara state deputy governor and his wife have gotten their jab frontline workers have started getting their jab we are still wearing a mask washing hands and doing social distancing,0
i just got vaccinated my st covid vaccine,2
be the first patriots in accepting immunisation as it safe for everyone take action please by clicking,2
another set of covid vaccine is the moderna the ncdc granted the moderna vaccine brand name spikevax full approval for people and older in january upgrading the vaccines eua which was granted in december a week after pfizerbiontech,0
vaccine take paracetamol,0
i think it has nothing to do with the vaccine as u skepticized hence even after the divorce they will still be running bill and melinda gates foundation together in their fight against global shortcomings with this permanent attachment one wonders the emotions behind the splits,0
i think the astrazeneca is for nigerians,0
covid vaccine for politicians,0
madam freedom against vaccine,0
so finally i too my second jab of moderna covid vaccine yesterday after hours and weeks of waiting,2
photo news atiku takes second dose of covid vaccine,0
yeah thats my point not all people have taken the vaccine and scale through either the whle logic of vacintn is based on you recovrn from it wats your point again economic and hc systm dmg happened because lock downs dnt work yt we ignrd and r still ignoring advce,1
waiting for the arrival of the vaccine sha,0
had mild headache and malaise for days not quite sure if it was the vaccine or hunger busy days,0
operation warp speed ensure the vaccine arrived way ahead of schedule dont be deceived no one needs a basement president he needs to speak to americans,0
ive seen a healthy pup go for vaccination and died days after from parvo,1
when im taking my vaccine those are the lines,0
vaccine shortages prompt changes to covax strategy,1
international will not require passengers to be vaccinated on cruises launching this summer in florida and texas reversing a policy that guests eligible for the vaccine must have it stay updated with,0
for the president wanting to do this then there must be something about the vaccine we dont know we down south should allow the north take it first and watch something aint right,1
i want the vaccine,2
go check jah by antivirus vaccine out now link on his bio after jah na jah ayoni ooo lekki peninsula lagos,0
sentimental mental nonsense you say we are bored onye nkuzi buhari whos meant to offer leadership has taken his covid vaccine and has since retreated into his shelf indulge biko,1
ko ti e ye mi because i want to take the vaccine because im tired of this covid madness __,2
started my monday morning by getting my first dose of the covid vaccine,2
omicron variant is over now russiaukraine variant is on vaccination is expected st nd rd jabs,2
why is vaccine nationalism dangerous,0
vaccination doesnt guarantee protection against covid use your face masks use your hand sanitizer try maintaining social distance stay safe yall,0
ekiti state governor dr chaired first meeting in the meeting deliberated on security economy in particular newly launched national development plan and states response to fourth wave of pandemic and vaccination exercise,0
russias sputnik v vaccine has efficacy in trial,2
moment receives covid vaccine in abuja the flag daddy freeze,0
the guy that introduced the event said it was moderna vaccinesso who do we believe or are they the same,0
haka kurum fa wai shi kadai ya shigo gurin mata ai kuwa ya ce mata tare da matata kuma ba gurin vaccine dama kullum suna yi da shi wasun su ba su da kirki koh kadan,0
i cant explain what this video just did for me i need rocks i need this outfit i need everyone to take this vaccine i need beach ahhhhh,2
omoooo i dont exactly feel tired sha for a week that has really stressed me out and a vaccine that wont stop making my heart beat so fast,1
if your guts tells you not to cod vaccinate listen to it and dont ignore it,1
by julia horowitz tuesday march good morning in todays newsletter european countries are pausing the astrazeneca vaccine rollout thats bad news for the global recovery,0
if we can rely on viagra to raise people from the dead why can we not trust the same pfizer to produce a vaccine for corona virus asking for a friend,2
face mask vaccination and certificate not compulsory according to uk prime minister,0
toh ai ko vaccine dinne mu a nigeria kyauta zaaba mu ko muki yi,0
you people should stop this dirty narrative its not the first time nigeria will administer vaccine these messages will only deter people from getting vaccinated please stop,2
go collect vaccine,2
biden arrived bearing gifts a $bn pledge of support for global coronavirus vaccination efforts the reentry of the us into the paris agreement climate accord and the prospect of a nearly $tr spending measure that could bolster both the us and global economies,0
i am looking at all the facts on ground and thats why i said what i said our first delivery is k and it has not even been taken plus this vaccine is different from polio ive not read of any doortodoor inoculation promising on uncertainty is the problem,0
gloves are not required for vaccination,0
astrazenecaoxford covid vaccination process,0
if one is pro every vaccine but saying they need more time to be convinced about covid vaccines does that make them an anti vaxxer do you not think the covid vaccines are unique enough to warrant valid skepticism from people who are pro vaccine and not be anti vaxxers,0
lol astrazeneca can be stored at normal refrigerator temperature it doesnt need cold chain system like that dont be bothered about the preservation,0
follow the facts stay alert turn on post notifications and take advantage of the upcoming discounted vaccination this to assure,2
vaccine from has arrived but we all know what happened to palliative from lets sha be watching as we backline workers are not up yet for covid vaccine,1
so you just collect the vaccine without testing if one has it first i mean what is going on,0
two african countries have now received delivery of their first tranche of covid vaccines from the covax facility ghana and cote divoire the plan is for nigeria to receive her first tranche oxfordastrazenecasii next week and begin vaccinating on the th of march,0
more than billion shots given covid tracker africa still left behind but no problem it appears weve developed herd,0
so many people are falling for the i must take the vaccine propaganda being pushed and paid for by bill and melinda to forward the wefs great reset agenda take a look at this to see what the modelling predicts for those fully vaccinated when wave hits make up your own mind,1
i cant even go for vaccine hunt at the moment i need my body and my mind to work perfectly for the mean time maybe when i less busy i will go but not this week,0
kogi flag off covid vaccination despite denial of its existence in the state by governor bello,0
its understandable that there are fears and doubts by those who vehemently oppose taking the vaccine because of they believe it wasnt clinically tried enough see nwanne if you snooze you lose dont allow your skepticism get the better of you vaccination is the only way to go,2
had my first dose of the covid vaccine yesterday i was tired and slept for about hours after the injection i also experienced headache and my arm felt heavy and sore used mg of paracetamol about hours ago and i feel much better now im sure its worth it,2
oya wia all d nass members governors hoa members top politicians etc oya lineup for ur vaccination let d rest die,0
had a dose of covid vaccine yesterday the headache fever and discomfort no be here o,2
hospitals are not even well equipped many dont have essential life saving drugs and fluids like normal saline but you want to produce vaccine local man needs one bo and a plate of peppersoup,1
more than three quarters of the billion shots administered worldwide have gone to high and uppermiddle income countries which make up just over a third of the worlds population,0
nd dose fully vaccinated yep i was sleepy as hell a few hours after slept like a log yesterday but everybody said i should better not blame it on vaccine cos on a normal day i too dey sleep the sleep was dragging me its not the same type of sleep abeg,1
vaccine coverage against covid who,0
omo i think say nah who dey healthy suppose dey administer this vaccine,0
nope the lockdown helped while the vaccine wasnt readily available,0
u mean covid vaccine,0
asking why do i need the covid vaccine since it doesnt stop me from contracting covid is like asking why do i need to use a seatbelt since it doesnt stop an accident from occurring get vaccinated please its safe its efficacious and its necessary,2
i have registered to take covid vaccination go and register,2
flagging off ceremony of covid vaccine ministry of health ilorin,0
vaccination isnt an issue everyone with their believe but for me its good you get vaccinated they are a lot of vaccine against many disease i just wonder why are we seeing this differently,2
i dont even understand how you can be nigerian and antivaccine you have so many problems as a nigerian already why are you denying yourself something that offers solution before the problem even comes i promise you nobody wants to put in your blood no one cares tbh,2
is there need for face mask after vaccine,0
who pfizer strike covax deal for million vaccine doses,0
na people wey hide indomie noodles go give you free vaccine e get why ______,0
the time parliament dedicated to review the final brexit deal is symptomatic of a stolen narrative maybe uncle klaus will be exposed if the truth does come out the vaccine truth seems to be oozing out nowof course after more than half the country has started the regimen,0
no vaccine unless you going to kill yourself,1
who thank you guys for delisting nigeria from getting covid vaccines a country that refused to distribute palliatives no light to store those vaccines and sure as heaven going to sell the free vaccines who,1
all this astrazeneca vaccine wahalai hope we are safe dai because if i see any slight change in my body now,1
how are you sure really effective nigerian become a dumped vaccines where madagaska indian and now oxford astrazeneca which one is genuine aint vaccines yet ask the birthplace for genuine effective vaccines,0
they cant be serious cos this is the vaccine i have been waiting for,2
we are going live on air in mins smoothfm in traffic tune in at home tune in at work tune in wherever you are please tune in to listen to dr renner who will be educating us on the importance of immunization and lifecourse vaccination,2
if you havent registered or pick a date yet for your vaccination and you want to click on the link below to do so,0
waiving patent and intellectual property protections is not a panacea for global vaccine distribution,0
get your covid vaccine from any public health facility near to you for free,2
newlyreleased pfizer docs reveal over of pregnant women who took covid jab lost their babies lifesite,1
long term side effects of the vaccine nobody sabi but youre forcing it on everyone e no pure na,1
go for the jab and keep yaself safe forget all those conspiracy theories u listen to most of us had polio vaccine then and we see children being given today nigeria is reaping the benefits go and get,2
be glad to receive the covid vaccine i have received mine and it has no side effect it is safe for you and i go and get vaccinated together we kick coronavirus out of nigeria prof saad ahmed medical director,2
